"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipEventSynchronize","128","3914902790","30585178","47.3069299775787"
"hipMemcpyAsync","1416","3891507428","2748239","47.0242249370446"
"hipGraphLaunch","64","439844678","6872573","5.31499822583249"
"hipLaunchKernel","970","14739116","15194","0.178104633996138"
"hipEventRecord","258","5006678","19405","0.0604997309693822"
"hipGetDevice","16336","1824884","111","0.022051546165008"
"hipMemsetAsync","64","1743333","27239","0.0210660996153629"
"hipExtModuleLaunchKernel","64","1680577","26259","0.0203077682194324"
"hipStreamWaitEvent","64","1656123","25876","0.0200122708015587"
"hipSetDevice","11505","1231666","107","0.0148832143077975"
"__hipPopCallConfiguration","970","283825","292","0.00342968653913531"
"__hipPushCallConfiguration","970","229861","236","0.00277759597488657"
"hipGetLastError","1811","211961","117","0.00256129582849171"
"hipEventCreateWithFlags","128","193871","1514","0.00234269975875523"
"hipEventDestroy","129","174812","1355","0.00211239447997647"
"hipEventQuery","64","126410","1975","0.00152751405060194"
"hipStreamIsCapturing","65","87301","1343","0.00105492844024681"
"hipDevicePrimaryCtxGetState","65","78572","1208","0.0009494488884099"
"hipDriverGetVersion","64","13740","214","0.000166031509020415"
"Total","35135","8275537626","235535","100.0"
