"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire","13994","63909873431","4566948","93.1435688901603"
"hsa_signal_store_screlease","735169","2722846569","3703","3.96833279995153"
"hsa_amd_signal_async_handler","163396","376657306","2305","0.548948133456572"
"hsa_signal_load_relaxed","1419683","286608376","201","0.417708963909542"
"hsa_executable_load_agent_code_object","329","233470323","709636","0.340264468488374"
"hsa_code_object_reader_create_from_memory","329","230963732","702017","0.336611311019051"
"hsa_queue_add_write_index_screlease","735170","131027714","178","0.190962495312334"
"hsa_queue_load_read_index_scacquire","735170","109628665","149","0.159775079538974"
"hsa_signal_create","80965","88955157","1098","0.129645082197042"
"hsa_amd_profiling_get_dispatch_time","385672","76309770","197","0.111215434132586"
"hsa_queue_load_read_index_relaxed","565157","76281641","134","0.111174438347293"
"hsa_amd_memory_pool_allocate","2066","72779310","35227","0.106070068845969"
"hsa_executable_freeze","329","70124412","213144","0.102200765693204"
"hsa_signal_silent_store_relaxed","251920","66035197","262","0.0962410593346807"
"hsa_signal_destroy","80042","42483401","530","0.0619161856423331"
"hsa_queue_create","3","39394132","13131377","0.0574138212270381"
"hsa_amd_queue_intercept_create","3","39287091","13095697","0.0572578174638898"
"hsa_amd_memory_async_copy","15781","20608533","1305","0.0300353014355924"
"hsa_amd_memory_async_copy_on_engine","4835","9753570","2017","0.0142150542701487"
"hsa_amd_memory_pool_free","310","5515152","17790","0.00803789637928669"
"hsa_amd_agents_allow_access","64","2012943","31452","0.00293370468328171"
"hsa_executable_create_alt","329","1584707","4816","0.00230958469640189"
"hsa_amd_memory_copy_engine_status","343","593378","1729","0.00086480134686195"
"hsa_executable_get_symbol_by_name","414","502389","1213","0.000732192099890168"
"hsa_agent_get_info","535","438225","819","0.000638678161692173"
"hsa_executable_symbol_get_info","828","193603","233","0.000282161008929408"
"hsa_amd_profiling_get_async_copy_time","833","180143","216","0.000262544127061927"
"hsa_iterate_agents","2","70431","35215","0.00010264759337359"
"hsa_amd_agent_iterate_memory_pools","20","59771","2988","8.71114893091513e-05"
"hsa_isa_get_info_alt","4","40050","10012","5.83696967899401e-05"
"hsa_amd_memory_pool_get_info","118","23311","197","3.39739326309686e-05"
"hsa_agent_iterate_isas","2","19231","9615","2.80276564036789e-05"
"hsa_amd_register_system_event_handler","4","15200","3800","2.21527937879423e-05"
"hsa_system_get_major_extension_table","2","11160","5580","1.62648143864103e-05"
"hsa_amd_agent_memory_pool_get_info","42","7620","181","1.110554530685e-05"
"hsa_amd_queue_intercept_register","3","6320","2106","9.21089846972338e-06"
"hsa_amd_profiling_async_copy_enable","2","3350","1675","4.88235915721097e-06"
"hsa_system_get_info","9","2790","310","4.06620359660257e-06"
"hsa_amd_profiling_set_profiler_enabled","3","2370","790","3.45408692614627e-06"
"Total","5193880","68614370474","13210","100.0"
