"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpyWithStream","204","2350585857","11522479","92.0156292880646"
"hipModuleLaunchKernel","3656","47730462","13055","1.86844844831382"
"hipEventSynchronize","10","44962880","4496288","1.76010915980072"
"hipLaunchKernel","3924","35875507","9142","1.40437642079856"
"hipMemcpyAsync","92","35494960","385814","1.38947959345043"
"hipExtModuleLaunchKernel","1220","17901664","14673","0.700775457045342"
"hipPointerGetAttribute","18452","9739541","527","0.381262395254812"
"hipGetDevice","46042","5039749","109","0.1972851467254"
"hipSetDevice","22490","2478791","110","0.0970343257445162"
"hipMemsetAsync","132","1859232","14085","0.0727811757920004"
"__hipPopCallConfiguration","3924","776417","197","0.0303934862162966"
"__hipPushCallConfiguration","3924","651975","166","0.0255221011078711"
"hipGetLastError","5248","529433","100","0.0207250930723471"
"hipEventRecord","18","338935","18829","0.0132678911599314"
"hipGetDeviceProperties","520","232345","446","0.00909533737015731"
"hipStreamWaitEvent","4","117302","29325","0.00459188389762721"
"hipStreamGetCaptureInfo","204","96681","473","0.00378465778167888"
"hipGetDeviceProperties_v2","128","93330","729","0.00365348011257734"
"hipEventDestroy","8","19030","2378","0.000744945103850282"
"hipEventCreateWithFlags","8","14710","1838","0.000575835127568978"
"hipEventQuery","4","11850","2962","0.000463878059938299"
"Total","110212","2554550651","23178","100.0"
