"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire","12768","55714864387","4363632","92.8559029682437"
"hsa_signal_store_screlease","672558","2379845712","3538","3.96631536205309"
"hsa_amd_signal_async_handler","163299","383575771","2348","0.639277775595841"
"hsa_signal_load_relaxed","1201615","249774604","207","0.416281124402542"
"hsa_code_object_reader_create_from_memory","329","234028190","711331","0.390037724071786"
"hsa_executable_load_agent_code_object","329","232064161","705362","0.386764420111392"
"hsa_queue_add_write_index_screlease","672558","134296281","199","0.223821821604248"
"hsa_queue_load_read_index_scacquire","672558","103358212","153","0.172259597327182"
"hsa_signal_create","79200","79704961","1006","0.13283844816161"
"hsa_queue_load_read_index_relaxed","502906","72215820","143","0.120356842800766"
"hsa_amd_memory_pool_allocate","2066","71880325","34792","0.119797697741201"
"hsa_executable_freeze","329","69296443","210627","0.115491329971788"
"hsa_amd_profiling_get_dispatch_time","333870","65851724","197","0.109750267927823"
"hsa_signal_silent_store_relaxed","198078","55518251","280","0.0925282217688655"
"hsa_queue_create","3","39837967","13279322","0.0663950354883612"
"hsa_amd_queue_intercept_create","3","39727185","13242395","0.0662104032047542"
"hsa_signal_destroy","78758","35460549","450","0.0590995120130445"
"hsa_amd_memory_async_copy","15781","20745610","1314","0.0345751958722618"
"hsa_amd_memory_async_copy_on_engine","3978","8245266","2072","0.0137417837782982"
"hsa_amd_memory_pool_free","310","5709280","18417","0.00951524078055968"
"hsa_amd_agents_allow_access","64","2024412","31631","0.00337393990469103"
"hsa_executable_create_alt","329","1494132","4541","0.00249016088507468"
"hsa_executable_get_symbol_by_name","414","477654","1153","0.000796071101749687"
"hsa_amd_memory_copy_engine_status","278","472229","1698","0.000787029649721667"
"hsa_agent_get_info","535","452252","845","0.000753735440106226"
"hsa_executable_symbol_get_info","828","169493","204","0.000282481627388988"
"hsa_amd_agent_iterate_memory_pools","20","70080","3504","0.000116797227303902"
"hsa_iterate_agents","2","68831","34415","0.00011471561005358"
"hsa_amd_profiling_get_async_copy_time","192","67001","348","0.000111665682457031"
"hsa_isa_get_info_alt","4","42521","10630","7.08666510015586e-05"
"hsa_amd_memory_pool_get_info","118","23830","201","3.97157238392122e-05"
"hsa_agent_iterate_isas","2","18980","9490","3.16325823948068e-05"
"hsa_amd_register_system_event_handler","4","12330","3082","2.05495121669109e-05"
"hsa_system_get_major_extension_table","2","9970","4985","1.66162722063343e-05"
"hsa_amd_agent_memory_pool_get_info","42","7400","176","1.23330405543504e-05"
"hsa_amd_queue_intercept_register","3","4010","1336","6.68317467877636e-06"
"hsa_system_get_info","9","3010","334","5.01654757683712e-06"
"hsa_amd_profiling_async_copy_enable","2","2850","1425","4.74988724052684e-06"
"hsa_amd_profiling_set_profiler_enabled","3","2680","893","4.46656063319717e-06"
"Total","4614147","60001424364","13003","100.0"
