"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"_fwd_kernel","96","2862586283","29818607","40.582"
"Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1_DRB16_ALT_KME0_ETSP_EPS1_FL0_GRVW8_GSU1_ISA936_IU1_KME_GRCMn1_K1_KLA_LDL1_LRVW8_MAC_MMAC_BW1_MMAC_KM0_MMAC_KME1_NLCA1_NLCB1_OLDSR0_PGR1_PLR1_RK1_SU0_SUM0_SUS256_SVW4_TT16_8_TLM0_ULDSWM0_USFGRO0_USSB0_VAW1_VSn1_VW8_WG16_32_1_WGM4","320","1380701024","4314690","19.574"
"Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1_DRB16_ALT_KME0_ETSP_EPS1_FL0_GRVW8_GSU1_ISA936_IU1_KME_GRCMn1_K1_KLA_LDL1_LRVW8_MAC_MMAC_BW1_MMAC_KM0_MMAC_KME1_NLCA1_NLCB1_OLDSR0_PGR1_PLR1_RK1_SU0_SUM0_SUS256_SVW4_TT16_8_TLM0_ULDSWM0_USFGRO0_USSB0_VAW1_VSn1_VW8_WG16_32_1_WGM1","688","1040971414","1513039","14.758"
"Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1_DRB16_ALT_KME0_ETSP_EPS1_FL0_GRVW8_GSU1_ISA936_IU1_KME_GRCMn1_K1_KLA_LDL1_LRVW8_MAC_MMAC_BW1_MMAC_KM0_MMAC_KME1_NLCA1_NLCB1_OLDSR0_PGR1_PLR1_RK1_SU0_SUM0_SUS256_SVW4_TT16_8_TLM0_ULDSWM0_USFGRO0_USSB0_VAW1_VSn1_VW8_WG16_32_1_WGM8","320","644301358","2013441","9.134"
"chunk_gated_delta_rule_fwd_kernel_h_blockdim64","288","234303955","813555","3.322"
"chunk_fwd_kernel_o","288","106550477","369966","1.511"
"_causal_conv1d_fwd_kernel","288","93852729","325877","1.331"
"recompute_w_u_fwd_kernel","288","71661699","248825","1.016"
"triton_poi_fused_mul_rocm_unquantized_gemm_silu_slice_3","192","60410024","314635","0.856"
"merge_16x16_to_64x64_inverse_kernel","288","48713543","169144","0.691"
"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})","864","39696283","45944","0.563"
"triton_red_fused__to_copy_add_copy__mean_mul_pow_rsqrt_4","192","37169880","193593","0.527"
"triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mul_pow_reshape_rocm_unquantized_gemm_rsqrt_silu_view_1","192","37036925","192900","0.525"
"Cijk_Alik_Bljk_BBH_MT128x64x32_SE_AMAS3_BW_DTL0_BL1_DRB16_ALT_KME0_ETSP_EPS1_FL0_GRVW4_GSU1_ISA936_IU1_KME_GRCMn1_K1_KLA_LDL1_LRVW4_MAC_MMAC_BW1_MMAC_KM0_MMAC_KME1_NLCA1_NLCB1_OLDSR0_PGR1_PLR1_RK1_SU0_SUM0_SUS256_SVW4_TT8_4_TLM0_ULDSWM0_USFGRO0_USSB0_VAW1_VSn1_VW4_WG16_16_1_WGM8","80","33748931","421861","0.478"
"fused_attn_output_gate_kernel","96","31951328","332826","0.453"
"triton_poi_fused_mul_rocm_unquantized_gemm_silu_slice_4","96","30180461","314379","0.428"
"triton_poi_fused_mul_rocm_unquantized_gemm_silu_slice_1","96","30051651","313038","0.426"
"chunk_scaled_dot_kkt_fwd_kernel","288","22586701","78426","0.32"
"l2norm_fwd_kernel2","576","22516136","39090","0.319"
"triton_red_fused__to_copy_add_mean_mul_pow_rocm_unquantized_gemm_rsqrt_2","192","19253745","100279","0.273"
"triton_red_fused__to_copy_add_copy__mean_mul_pow_rocm_unquantized_gemm_rsqrt_5","96","18840299","196253","0.267"
